Año,Trimestre,Provincia,Accesos por cada 100 hab
2014,2,Tucumán,8
2014,1,Buenos Aires,17
2014,1,Capital Federal,43
2014,1,Catamarca,6
2014,1,Chaco,6
2014,1,Chubut,13
2014,1,Córdoba,16
2014,1,Corrientes,6
2014,1,Entre Ríos,10
2014,1,Formosa,4
2014,1,Jujuy,5
2014,1,La Pampa,16
2014,1,La Rioja,4
2014,1,Mendoza,9
2014,1,Misiones,6
2014,1,Neuquén,15
2014,1,Río Negro,14
2014,1,Salta,7
2014,1,San Juan,7
2014,1,San Luis,3
2014,1,Santa Cruz,9
2014,1,Santa Fe,15
2014,1,Santiago Del Estero,4
2014,1,Tierra Del Fuego,19
2014,1,Tucumán,8
